PERIODO,PATOLOGIA,TERRITORIO,MASCHI,FEMMINE,TOTALE
2009-2017,Malattie cerebrovascolari,81016,7,9,16
2009-2017,Malattie cerebrovascolari,81017,10,11,21
2009-2017,Malattie cerebrovascolari,81018,68,106,174
2009-2017,Malattie cerebrovascolari,81019,54,47,101
2009-2017,Malattie cerebrovascolari,81020,11,42,53
2009-2017,Malattie cerebrovascolari,81021,332,492,824
2009-2017,Malattie cerebrovascolari,81022,58,99,157
2009-2017,Malattie cerebrovascolari,81023,11,27,38
2009-2017,Malattie cerebrovascolari,81024,41,74,115
2009-2017,Malattie cerebrovascolari,82001,21,22,43
2009-2017,Malattie cerebrovascolari,82002,21,31,52
2009-2017,Malattie cerebrovascolari,82003,3,10,13
2009-2017,Malattie cerebrovascolari,82004,27,39,66
2009-2017,Malattie cerebrovascolari,82005,46,55,101
2009-2017,Malattie cerebrovascolari,82006,222,285,507
2009-2017,Malattie cerebrovascolari,82007,33,48,81
2009-2017,Malattie cerebrovascolari,82008,19,16,35
2009-2017,Malattie cerebrovascolari,82009,37,38,75
2009-2017,Malattie cerebrovascolari,82010,19,27,46
2009-2017,Malattie cerebrovascolari,82011,14,17,31
2009-2017,Malattie cerebrovascolari,82012,9,17,26
2009-2017,Malattie cerebrovascolari,82013,34,33,67
2009-2017,Malattie cerebrovascolari,82014,32,30,62
2009-2017,Malattie cerebrovascolari,82015,34,47,81
2009-2017,Malattie cerebrovascolari,82016,5,7,12
2009-2017,Malattie cerebrovascolari,82017,22,17,39
2009-2017,Malattie cerebrovascolari,82018,3,11,14
2009-2017,Malattie cerebrovascolari,82019,22,27,49
2009-2017,Malattie cerebrovascolari,82020,25,34,59
2009-2017,Malattie cerebrovascolari,82021,95,112,207
2009-2017,Malattie cerebrovascolari,82022,42,82,124
2009-2017,Malattie cerebrovascolari,82023,49,64,113
2009-2017,Malattie cerebrovascolari,82024,14,24,38
2009-2017,Malattie cerebrovascolari,82025,18,22,40
2009-2017,Malattie cerebrovascolari,82026,1,5,6
2009-2017,Malattie cerebrovascolari,82027,58,89,147
2009-2017,Malattie cerebrovascolari,82028,23,24,47
2009-2017,Malattie cerebrovascolari,82029,18,29,47
2009-2017,Malattie cerebrovascolari,82030,24,37,61
2009-2017,Malattie cerebrovascolari,82031,26,49,75
2009-2017,Malattie cerebrovascolari,82032,11,27,38
2009-2017,Malattie cerebrovascolari,82033,9,10,19
2009-2017,Malattie cerebrovascolari,82034,38,64,102
2009-2017,Malattie cerebrovascolari,82035,50,55,105
2009-2017,Malattie cerebrovascolari,82036,47,77,124
2009-2017,Malattie cerebrovascolari,82037,9,13,22
2009-2017,Malattie cerebrovascolari,82038,6,10,16
2009-2017,Malattie cerebrovascolari,82039,26,25,51
2009-2017,Malattie cerebrovascolari,82040,4,8,12
2009-2017,Malattie cerebrovascolari,82041,5,8,13
2009-2017,Malattie cerebrovascolari,82042,11,18,29
2009-2017,Malattie cerebrovascolari,82043,12,13,25
2009-2017,Malattie cerebrovascolari,82044,12,25,37
2009-2017,Malattie cerebrovascolari,82045,27,47,74
2009-2017,Malattie cerebrovascolari,82046,36,53,89
2009-2017,Malattie cerebrovascolari,82047,25,22,47
2009-2017,Malattie cerebrovascolari,82048,98,139,237
2009-2017,Malattie cerebrovascolari,82049,109,171,280
2009-2017,Malattie cerebrovascolari,82050,20,28,48
2009-2017,Malattie cerebrovascolari,82051,22,41,63
2009-2017,Malattie cerebrovascolari,82052,22,22,44
2009-2017,Malattie cerebrovascolari,82053,2041,3156,5197
2009-2017,Malattie cerebrovascolari,82054,136,187,323
2009-2017,Malattie cerebrovascolari,82055,16,15,31
2009-2017,Malattie cerebrovascolari,82056,15,29,44
2009-2017,Malattie cerebrovascolari,82057,37,46,83
2009-2017,Malattie cerebrovascolari,82058,28,22,50
2009-2017,Malattie cerebrovascolari,82059,9,14,23
2009-2017,Malattie cerebrovascolari,82060,67,65,132
2009-2017,Malattie cerebrovascolari,82061,6,7,13
2009-2017,Malattie cerebrovascolari,82062,24,30,54
2009-2017,Malattie cerebrovascolari,82063,21,29,50
2009-2017,Malattie cerebrovascolari,82064,55,86,141
2009-2017,Malattie cerebrovascolari,82065,13,31,44
2009-2017,Malattie cerebrovascolari,82066,5,6,11
2009-2017,Malattie cerebrovascolari,82067,52,81,133
2009-2017,Malattie cerebrovascolari,82068,9,19,28
2009-2017,Malattie cerebrovascolari,82069,4,4,8
2009-2017,Malattie cerebrovascolari,82070,98,170,268
2009-2017,Malattie cerebrovascolari,82071,38,56,94
2009-2017,Malattie cerebrovascolari,82072,15,20,35
2009-2017,Malattie cerebrovascolari,82073,58,80,138
2009-2017,Malattie cerebrovascolari,82074,12,14,26
2009-2017,Malattie cerebrovascolari,82075,5,9,14
2009-2017,Malattie cerebrovascolari,82076,23,28,51
2009-2017,Malattie cerebrovascolari,82077,15,21,36
2009-2017,Malattie cerebrovascolari,82078,11,13,24
2009-2017,Malattie cerebrovascolari,82079,72,93,165
2009-2017,Malattie cerebrovascolari,82080,15,14,29
2009-2017,Malattie cerebrovascolari,82081,1,4,5
2009-2017,Malattie cerebrovascolari,82082,12,14,26
2009-2017,Malattie cerebrovascolari,83001,20,22,42
2009-2017,Malattie cerebrovascolari,83002,5,6,11
2009-2017,Malattie cerebrovascolari,83003,3,13,16
2009-2017,Malattie cerebrovascolari,83004,15,13,28
2009-2017,Malattie cerebrovascolari,83005,149,258,407
2009-2017,Malattie cerebrovascolari,83006,7,11,18
2009-2017,Malattie cerebrovascolari,83007,27,50,77
2009-2017,Malattie cerebrovascolari,83008,11,22,33
2009-2017,Malattie cerebrovascolari,83009,60,94,154
2009-2017,Malattie cerebrovascolari,83010,15,19,34
2009-2017,Malattie cerebrovascolari,83011,15,43,58
2009-2017,Malattie cerebrovascolari,83012,17,24,41
2009-2017,Malattie cerebrovascolari,83013,8,10,18
2009-2017,Malattie cerebrovascolari,83014,22,43,65
2009-2017,Malattie cerebrovascolari,83015,4,9,13
2009-2017,Malattie cerebrovascolari,83016,14,32,46
2009-2017,Malattie cerebrovascolari,83017,16,19,35
2009-2017,Malattie cerebrovascolari,83018,1,7,8
2009-2017,Malattie cerebrovascolari,83019,7,14,21
2009-2017,Malattie cerebrovascolari,83020,15,19,34
2009-2017,Malattie cerebrovascolari,83021,11,14,25
2009-2017,Malattie cerebrovascolari,83022,4,6,10
2009-2017,Malattie cerebrovascolari,83023,9,14,23
2009-2017,Malattie cerebrovascolari,83024,2,11,13
2009-2017,Malattie cerebrovascolari,83025,25,53,78
2009-2017,Malattie cerebrovascolari,83026,8,12,20
2009-2017,Malattie cerebrovascolari,83027,20,27,47
2009-2017,Malattie cerebrovascolari,83028,10,26,36
2009-2017,Malattie cerebrovascolari,83029,14,20,34
2009-2017,Malattie cerebrovascolari,83030,16,21,37
2009-2017,Malattie cerebrovascolari,83031,3,4,7
2009-2017,Malattie cerebrovascolari,83032,46,52,98
2009-2017,Malattie cerebrovascolari,83033,48,69,117
2009-2017,Malattie cerebrovascolari,83034,10,21,31
2009-2017,Malattie cerebrovascolari,83035,22,29,51
2009-2017,Malattie cerebrovascolari,83036,6,7,13
2009-2017,Malattie cerebrovascolari,83037,2,4,6
2009-2017,Malattie cerebrovascolari,83038,13,22,35
2009-2017,Malattie cerebrovascolari,83039,12,20,32
2009-2017,Malattie cerebrovascolari,83040,2,7,9
2009-2017,Malattie cerebrovascolari,83041,44,78,122
2009-2017,Malattie cerebrovascolari,83042,8,15,23
2009-2017,Malattie cerebrovascolari,83043,6,3,9
2009-2017,Malattie cerebrovascolari,83044,11,18,29
2009-2017,Malattie cerebrovascolari,83045,2,10,12
2009-2017,Malattie cerebrovascolari,83046,7,16,23
2009-2017,Malattie cerebrovascolari,83047,13,15,28
2009-2017,Malattie cerebrovascolari,83048,889,1441,2330
2009-2017,Malattie cerebrovascolari,83049,184,282,466
2009-2017,Malattie cerebrovascolari,83050,14,18,32
2009-2017,Malattie cerebrovascolari,83051,11,15,26
2009-2017,Malattie cerebrovascolari,83052,45,58,103
2009-2017,Malattie cerebrovascolari,83053,12,12,24
2009-2017,Malattie cerebrovascolari,83054,17,26,43
2009-2017,Malattie cerebrovascolari,83055,6,16,22
2009-2017,Malattie cerebrovascolari,83056,19,40,59
2009-2017,Malattie cerebrovascolari,83057,26,25,51
2009-2017,Malattie cerebrovascolari,83058,14,20,34
2009-2017,Malattie cerebrovascolari,83059,6,5,11
2009-2017,Malattie cerebrovascolari,83060,23,50,73
2009-2017,Malattie cerebrovascolari,83061,13,22,35
2009-2017,Malattie cerebrovascolari,83062,10,20,30
2009-2017,Malattie cerebrovascolari,83063,14,22,36
2009-2017,Malattie cerebrovascolari,83064,32,46,78
2009-2017,Malattie cerebrovascolari,83065,9,13,22
2009-2017,Malattie cerebrovascolari,83066,91,139,230
2009-2017,Malattie cerebrovascolari,83067,15,17,32
2009-2017,Malattie cerebrovascolari,83068,27,35,62
2009-2017,Malattie cerebrovascolari,83069,5,26,31
2009-2017,Malattie cerebrovascolari,83070,5,12,17
2009-2017,Malattie cerebrovascolari,83071,2,2,4
2009-2017,Malattie cerebrovascolari,83072,29,31,60
2009-2017,Malattie cerebrovascolari,83073,5,20,25
2009-2017,Malattie cerebrovascolari,83074,6,14,20
2009-2017,Malattie cerebrovascolari,83075,17,30,47
2009-2017,Malattie cerebrovascolari,83076,44,71,115
2009-2017,Malattie cerebrovascolari,83077,33,62,95
2009-2017,Malattie cerebrovascolari,83078,61,93,154
2009-2017,Malattie cerebrovascolari,83079,13,30,43
2009-2017,Malattie cerebrovascolari,83080,23,37,60
2009-2017,Malattie cerebrovascolari,83081,16,38,54
2009-2017,Malattie cerebrovascolari,83082,8,16,24
2009-2017,Malattie cerebrovascolari,83083,7,10,17
2009-2017,Malattie cerebrovascolari,83084,75,90,165
2009-2017,Malattie cerebrovascolari,83085,8,20,28
2009-2017,Malattie cerebrovascolari,83086,51,86,137
2009-2017,Malattie cerebrovascolari,83087,6,5,11
2009-2017,Malattie cerebrovascolari,83088,27,40,67
2009-2017,Malattie cerebrovascolari,83089,59,89,148
2009-2017,Malattie cerebrovascolari,83090,3,11,14
2009-2017,Malattie cerebrovascolari,83091,37,55,92
2009-2017,Malattie cerebrovascolari,83092,27,40,67
2009-2017,Malattie cerebrovascolari,83093,13,27,40
2009-2017,Malattie cerebrovascolari,83094,9,16,25
2009-2017,Malattie cerebrovascolari,83095,18,27,45
2009-2017,Malattie cerebrovascolari,83096,31,43,74
2009-2017,Malattie cerebrovascolari,83097,60,77,137
2009-2017,Malattie cerebrovascolari,83098,28,50,78
2009-2017,Malattie cerebrovascolari,83099,26,54,80
2009-2017,Malattie cerebrovascolari,83100,5,9,14
2009-2017,Malattie cerebrovascolari,83101,16,25,41
2009-2017,Malattie cerebrovascolari,83102,10,9,19
2009-2017,Malattie cerebrovascolari,83103,6,15,21
2009-2017,Malattie cerebrovascolari,83104,12,25,37
2009-2017,Malattie cerebrovascolari,83105,36,66,102
2009-2017,Malattie cerebrovascolari,83106,19,38,57
2009-2017,Malattie cerebrovascolari,83107,23,36,59
2009-2017,Malattie cerebrovascolari,83108,23,35,58
2009-2017,Malattie cerebrovascolari,84001,218,361,579
2009-2017,Malattie cerebrovascolari,84002,13,32,45
2009-2017,Malattie cerebrovascolari,84003,50,81,131
2009-2017,Malattie cerebrovascolari,84004,24,39,63
2009-2017,Malattie cerebrovascolari,84005,13,26,39
2009-2017,Malattie cerebrovascolari,84006,8,7,15
2009-2017,Malattie cerebrovascolari,84007,26,31,57
2009-2017,Malattie cerebrovascolari,84008,22,23,45
2009-2017,Malattie cerebrovascolari,84009,32,45,77
2009-2017,Malattie cerebrovascolari,84010,76,118,194
2009-2017,Malattie cerebrovascolari,84011,172,261,433
2009-2017,Malattie cerebrovascolari,84012,32,72,104
2009-2017,Malattie cerebrovascolari,84013,15,36,51
2009-2017,Malattie cerebrovascolari,84014,19,34,53
2009-2017,Malattie cerebrovascolari,84015,20,31,51
2009-2017,Malattie cerebrovascolari,84016,2,12,14
2009-2017,Malattie cerebrovascolari,84017,122,189,311
2009-2017,Malattie cerebrovascolari,84018,27,34,61
2009-2017,Malattie cerebrovascolari,84019,5,11,16
2009-2017,Malattie cerebrovascolari,84020,14,24,38
2009-2017,Malattie cerebrovascolari,84021,198,240,438
2009-2017,Malattie cerebrovascolari,84022,17,16,33
2009-2017,Malattie cerebrovascolari,84023,62,110,172
2009-2017,Malattie cerebrovascolari,84024,2,6,8
2009-2017,Malattie cerebrovascolari,84025,18,18,36
2009-2017,Malattie cerebrovascolari,84026,80,151,231
2009-2017,Malattie cerebrovascolari,84027,167,257,424
2009-2017,Malattie cerebrovascolari,84028,95,103,198
2009-2017,Malattie cerebrovascolari,84029,39,81,120
2009-2017,Malattie cerebrovascolari,84030,53,109,162
2009-2017,Malattie cerebrovascolari,84031,75,95,170
2009-2017,Malattie cerebrovascolari,84032,10,34,44
2009-2017,Malattie cerebrovascolari,84033,97,108,205
2009-2017,Malattie cerebrovascolari,84034,38,53,91
2009-2017,Malattie cerebrovascolari,84035,31,47,78
2009-2017,Malattie cerebrovascolari,84036,25,29,54
2009-2017,Malattie cerebrovascolari,84037,7,21,28
2009-2017,Malattie cerebrovascolari,84038,35,54,89
2009-2017,Malattie cerebrovascolari,84039,7,9,16
2009-2017,Malattie cerebrovascolari,84040,29,44,73
2009-2017,Malattie cerebrovascolari,84041,188,273,461
2009-2017,Malattie cerebrovascolari,84042,14,22,36
2009-2017,Malattie cerebrovascolari,84043,9,18,27
2009-2017,Malattie cerebrovascolari,85001,11,13,24
2009-2017,Malattie cerebrovascolari,85002,8,11,19
2009-2017,Malattie cerebrovascolari,85003,57,60,117
2009-2017,Malattie cerebrovascolari,85004,316,540,856
2009-2017,Malattie cerebrovascolari,85005,22,21,43
2009-2017,Malattie cerebrovascolari,85006,28,50,78
2009-2017,Malattie cerebrovascolari,85007,367,453,820
2009-2017,Malattie cerebrovascolari,85008,11,22,33
2009-2017,Malattie cerebrovascolari,85009,93,105,198
2009-2017,Malattie cerebrovascolari,85010,25,41,66
2009-2017,Malattie cerebrovascolari,85011,9,37,46
2009-2017,Malattie cerebrovascolari,85012,75,85,160
2009-2017,Malattie cerebrovascolari,85013,176,239,415
2009-2017,Malattie cerebrovascolari,85014,13,26,39
2009-2017,Malattie cerebrovascolari,85015,82,159,241
2009-2017,Malattie cerebrovascolari,85016,130,238,368
2009-2017,Malattie cerebrovascolari,85017,36,58,94
2009-2017,Malattie cerebrovascolari,85018,25,44,69
2009-2017,Malattie cerebrovascolari,85019,39,67,106
2009-2017,Malattie cerebrovascolari,85020,8,22,30
2009-2017,Malattie cerebrovascolari,85021,33,36,69
2009-2017,Malattie cerebrovascolari,85022,14,17,31
2009-2017,Malattie cerebrovascolari,86001,59,87,146
2009-2017,Malattie cerebrovascolari,86002,36,48,84
2009-2017,Malattie cerebrovascolari,86003,20,50,70
2009-2017,Malattie cerebrovascolari,86004,135,170,305
2009-2017,Malattie cerebrovascolari,86005,24,54,78
2009-2017,Malattie cerebrovascolari,86006,32,29,61
2009-2017,Malattie cerebrovascolari,86007,50,90,140
2009-2017,Malattie cerebrovascolari,86008,15,21,36
2009-2017,Malattie cerebrovascolari,86009,119,221,340
2009-2017,Malattie cerebrovascolari,86010,24,36,60
2009-2017,Malattie cerebrovascolari,86011,55,91,146
2009-2017,Malattie cerebrovascolari,86012,105,131,236
2009-2017,Malattie cerebrovascolari,86013,19,24,43
2009-2017,Malattie cerebrovascolari,86014,125,155,280
2009-2017,Malattie cerebrovascolari,86015,74,118,192
2009-2017,Malattie cerebrovascolari,86016,49,68,117
2009-2017,Malattie cerebrovascolari,86017,7,5,12
2009-2017,Malattie cerebrovascolari,86018,61,94,155
2009-2017,Malattie cerebrovascolari,86019,49,78,127
2009-2017,Malattie cerebrovascolari,86020,26,48,74
2009-2017,Malattie cerebrovascolari,87001,15,24,39
2009-2017,Malattie cerebrovascolari,87002,87,108,195
2009-2017,Malattie cerebrovascolari,87003,105,102,207
2009-2017,Malattie cerebrovascolari,87004,343,465,808
2009-2017,Malattie cerebrovascolari,87005,66,96,162
2009-2017,Malattie cerebrovascolari,87006,162,231,393
2009-2017,Malattie cerebrovascolari,87007,99,142,241
2009-2017,Malattie cerebrovascolari,87008,101,125,226
2009-2017,Malattie cerebrovascolari,87009,90,113,203
2009-2017,Malattie cerebrovascolari,87010,50,58,108
2009-2017,Malattie cerebrovascolari,87011,213,296,509
2009-2017,Malattie cerebrovascolari,87012,17,17,34
2009-2017,Malattie cerebrovascolari,87013,26,37,63
2009-2017,Malattie cerebrovascolari,87014,13,33,46
2009-2017,Malattie cerebrovascolari,87015,1508,2547,4055
2009-2017,Malattie cerebrovascolari,87016,49,61,110
2009-2017,Malattie cerebrovascolari,87017,139,168,307
2009-2017,Malattie cerebrovascolari,87018,101,123,224
2009-2017,Malattie cerebrovascolari,87019,102,130,232
2009-2017,Malattie cerebrovascolari,87020,14,32,46
2009-2017,Malattie cerebrovascolari,87021,41,80,121
2009-2017,Malattie cerebrovascolari,87022,8,16,24
2009-2017,Malattie cerebrovascolari,87023,45,65,110
2009-2017,Malattie cerebrovascolari,87024,92,144,236
2009-2017,Malattie cerebrovascolari,87025,45,68,113
2009-2017,Malattie cerebrovascolari,87026,13,10,23
2009-2017,Malattie cerebrovascolari,87027,40,56,96
2009-2017,Malattie cerebrovascolari,87028,40,33,73
2009-2017,Malattie cerebrovascolari,87029,172,234,406
2009-2017,Malattie cerebrovascolari,87030,48,71,119
2009-2017,Malattie cerebrovascolari,87031,32,35,67
2009-2017,Malattie cerebrovascolari,87032,53,69,122
2009-2017,Malattie cerebrovascolari,87033,228,268,496
2009-2017,Malattie cerebrovascolari,87034,40,63,103
2009-2017,Malattie cerebrovascolari,87035,16,26,42
2009-2017,Malattie cerebrovascolari,87036,17,30,47
2009-2017,Malattie cerebrovascolari,87037,42,28,70
2009-2017,Malattie cerebrovascolari,87038,32,77,109
2009-2017,Malattie cerebrovascolari,87039,65,90,155
2009-2017,Malattie cerebrovascolari,87040,11,43,54
2009-2017,Malattie cerebrovascolari,87041,78,98,176
2009-2017,Malattie cerebrovascolari,87042,34,56,90
2009-2017,Malattie cerebrovascolari,87043,24,30,54
2009-2017,Malattie cerebrovascolari,87044,18,20,38
2009-2017,Malattie cerebrovascolari,87045,39,55,94
2009-2017,Malattie cerebrovascolari,87046,9,11,20
2009-2017,Malattie cerebrovascolari,87047,37,30,67
2009-2017,Malattie cerebrovascolari,87048,39,55,94
2009-2017,Malattie cerebrovascolari,87049,67,112,179
2009-2017,Malattie cerebrovascolari,87050,43,55,98
2009-2017,Malattie cerebrovascolari,87051,83,102,185
2009-2017,Malattie cerebrovascolari,87052,23,37,60
2009-2017,Malattie cerebrovascolari,87053,30,43,73
2009-2017,Malattie cerebrovascolari,87054,53,68,121
2009-2017,Malattie cerebrovascolari,87055,40,49,89
2009-2017,Malattie cerebrovascolari,87056,29,29,58
2009-2017,Malattie cerebrovascolari,87057,11,9,20
2009-2017,Malattie cerebrovascolari,87058,35,36,71
2009-2017,Malattie cerebrovascolari,88001,26,40,66
2009-2017,Malattie cerebrovascolari,88002,47,67,114
2009-2017,Malattie cerebrovascolari,88003,141,217,358
2009-2017,Malattie cerebrovascolari,88004,10,16,26
2009-2017,Malattie cerebrovascolari,88005,112,127,239
2009-2017,Malattie cerebrovascolari,88006,264,416,680
2009-2017,Malattie cerebrovascolari,88007,24,28,52
2009-2017,Malattie cerebrovascolari,88008,90,133,223
2009-2017,Malattie cerebrovascolari,88009,446,727,1173
2009-2017,Malattie cerebrovascolari,88010,44,78,122
2009-2017,Malattie cerebrovascolari,88011,144,181,325
2009-2017,Malattie cerebrovascolari,88012,228,261,489
2009-2017,Malattie cerebrovascolari,89001,160,237,397
2009-2017,Malattie cerebrovascolari,89002,159,197,356
2009-2017,Malattie cerebrovascolari,89003,19,31,50
2009-2017,Malattie cerebrovascolari,89004,10,19,29
2009-2017,Malattie cerebrovascolari,89005,80,116,196
2009-2017,Malattie cerebrovascolari,89006,83,159,242
2009-2017,Malattie cerebrovascolari,89007,1,2,3
2009-2017,Malattie cerebrovascolari,89008,8,21,29
2009-2017,Malattie cerebrovascolari,89009,115,138,253
2009-2017,Malattie cerebrovascolari,89010,105,98,203
2009-2017,Malattie cerebrovascolari,89011,168,256,424
2009-2017,Malattie cerebrovascolari,89012,78,95,173
2009-2017,Malattie cerebrovascolari,89013,120,162,282
2009-2017,Malattie cerebrovascolari,89014,115,170,285
2009-2017,Malattie cerebrovascolari,89015,81,143,224
2009-2017,Malattie cerebrovascolari,89016,102,134,236
2009-2017,Malattie cerebrovascolari,89017,451,675,1126
2009-2017,Malattie cerebrovascolari,89018,45,60,105
2009-2017,Malattie cerebrovascolari,89019,49,71,120
2009-2017,Malattie cerebrovascolari,89020,22,27,49
2009-2017,Malattie cerebrovascolari,89021,44,54,98
2009-2017,Malattie croniche delle basse vie respiratorie,81001,109,50,159
2009-2017,Malattie croniche delle basse vie respiratorie,81002,7,2,9
2009-2017,Malattie croniche delle basse vie respiratorie,81003,14,4,18
2009-2017,Malattie croniche delle basse vie respiratorie,81004,33,17,50
2009-2017,Malattie croniche delle basse vie respiratorie,81005,24,11,35
2009-2017,Malattie croniche delle basse vie respiratorie,81006,78,48,126
2009-2017,Malattie croniche delle basse vie respiratorie,81007,22,10,32
2009-2017,Malattie croniche delle basse vie respiratorie,81008,51,28,79
2009-2017,Malattie croniche delle basse vie respiratorie,81009,8,4,12
2009-2017,Malattie croniche delle basse vie respiratorie,81010,12,2,14
2009-2017,Malattie croniche delle basse vie respiratorie,81011,194,70,264
2009-2017,Malattie croniche delle basse vie respiratorie,81012,103,33,136
2009-2017,Malattie croniche delle basse vie respiratorie,81013,16,8,24
2009-2017,Malattie croniche delle basse vie respiratorie,81014,23,9,32
2009-2017,Malattie croniche delle basse vie respiratorie,81015,22,13,35
2009-2017,Malattie croniche delle basse vie respiratorie,81016,5,0,5
2009-2017,Malattie croniche delle basse vie respiratorie,81018,36,15,51
2009-2017,Malattie croniche delle basse vie respiratorie,81019,19,7,26
2009-2017,Malattie croniche delle basse vie respiratorie,81020,16,6,22
2009-2017,Malattie croniche delle basse vie respiratorie,81021,140,66,206
2009-2017,Malattie croniche delle basse vie respiratorie,81022,15,17,32
2009-2017,Malattie croniche delle basse vie respiratorie,81023,7,5,12
2009-2017,Malattie croniche delle basse vie respiratorie,81024,19,7,26
2009-2017,Malattie croniche delle basse vie respiratorie,82001,13,6,19
2009-2017,Malattie croniche delle basse vie respiratorie,82002,10,7,17
2009-2017,Malattie croniche delle basse vie respiratorie,82003,2,2,4
2009-2017,Malattie croniche delle basse vie respiratorie,82004,11,3,14
2009-2017,Malattie croniche delle basse vie respiratorie,82005,17,15,32
2009-2017,Malattie croniche delle basse vie respiratorie,82006,113,52,165
2009-2017,Malattie croniche delle basse vie respiratorie,82007,16,5,21
2009-2017,Malattie croniche delle basse vie respiratorie,82008,3,1,4
2009-2017,Malattie croniche delle basse vie respiratorie,82009,14,4,18
2009-2017,Malattie croniche delle basse vie respiratorie,82010,11,6,17
2009-2017,Malattie croniche delle basse vie respiratorie,82011,7,6,13
2009-2017,Malattie croniche delle basse vie respiratorie,82012,6,3,9
2009-2017,Malattie croniche delle basse vie respiratorie,82013,16,9,25
2009-2017,Malattie croniche delle basse vie respiratorie,82014,20,16,36
2009-2017,Malattie croniche delle basse vie respiratorie,82015,23,8,31
2009-2017,Malattie croniche delle basse vie respiratorie,82016,4,1,5
2009-2017,Malattie croniche delle basse vie respiratorie,82017,10,8,18
2009-2017,Malattie croniche delle basse vie respiratorie,82018,6,3,9
2009-2017,Malattie croniche delle basse vie respiratorie,82019,14,2,16
2009-2017,Malattie croniche delle basse vie respiratorie,82020,17,8,25
2009-2017,Malattie croniche delle basse vie respiratorie,82021,65,29,94
2009-2017,Malattie croniche delle basse vie respiratorie,82022,24,14,38
2009-2017,Malattie croniche delle basse vie respiratorie,82023,16,9,25
2009-2017,Malattie croniche delle basse vie respiratorie,82024,17,6,23
2009-2017,Malattie croniche delle basse vie respiratorie,82025,8,3,11
2009-2017,Malattie croniche delle basse vie respiratorie,82026,1,2,3
2009-2017,Malattie croniche delle basse vie respiratorie,82027,20,10,30
2009-2017,Malattie croniche delle basse vie respiratorie,82028,19,10,29
2009-2017,Malattie croniche delle basse vie respiratorie,82029,8,5,13
2009-2017,Malattie croniche delle basse vie respiratorie,82030,13,6,19
2009-2017,Malattie croniche delle basse vie respiratorie,82031,22,7,29
2009-2017,Malattie croniche delle basse vie respiratorie,82032,11,3,14
2009-2017,Malattie croniche delle basse vie respiratorie,82033,3,1,4
2009-2017,Malattie croniche delle basse vie respiratorie,82034,20,11,31
2009-2017,Malattie croniche delle basse vie respiratorie,82035,18,8,26
2009-2017,Malattie croniche delle basse vie respiratorie,82036,19,13,32
2009-2017,Malattie croniche delle basse vie respiratorie,82037,9,3,12
2009-2017,Malattie croniche delle basse vie respiratorie,82038,6,2,8
2009-2017,Malattie croniche delle basse vie respiratorie,82039,4,4,8
2009-2017,Malattie croniche delle basse vie respiratorie,82040,0,1,1
2009-2017,Malattie croniche delle basse vie respiratorie,82041,4,0,4
2009-2017,Malattie croniche delle basse vie respiratorie,82042,4,0,4
2009-2017,Malattie croniche delle basse vie respiratorie,82043,5,3,8
2009-2017,Malattie croniche delle basse vie respiratorie,82044,5,1,6
2009-2017,Malattie croniche delle basse vie respiratorie,82045,17,10,27
2009-2017,Malattie croniche delle basse vie respiratorie,82046,26,8,34
2009-2017,Malattie croniche delle basse vie respiratorie,82047,5,5,10
2009-2017,Malattie croniche delle basse vie respiratorie,82048,47,21,68
2009-2017,Malattie croniche delle basse vie respiratorie,82049,67,32,99
2009-2017,Malattie croniche delle basse vie respiratorie,82050,9,5,14
2009-2017,Malattie croniche delle basse vie respiratorie,82051,5,0,5
2009-2017,Malattie croniche delle basse vie respiratorie,82052,7,1,8
2009-2017,Malattie croniche delle basse vie respiratorie,82053,1079,800,1879
2009-2017,Malattie croniche delle basse vie respiratorie,82054,89,46,135
2009-2017,Malattie croniche delle basse vie respiratorie,82055,12,5,17
2009-2017,Malattie croniche delle basse vie respiratorie,82056,8,8,16
2009-2017,Malattie croniche delle basse vie respiratorie,82057,16,6,22
2009-2017,Malattie croniche delle basse vie respiratorie,82058,6,6,12
2009-2017,Malattie croniche delle basse vie respiratorie,82059,5,1,6
2009-2017,Malattie croniche delle basse vie respiratorie,82060,22,14,36
2009-2017,Malattie croniche delle basse vie respiratorie,82061,7,3,10
2009-2017,Malattie croniche delle basse vie respiratorie,82062,4,1,5
2009-2017,Malattie croniche delle basse vie respiratorie,82063,11,10,21
2009-2017,Malattie croniche delle basse vie respiratorie,82064,22,8,30
2009-2017,Malattie croniche delle basse vie respiratorie,82065,4,2,6
2009-2017,Malattie croniche delle basse vie respiratorie,82066,1,4,5
2009-2017,Malattie croniche delle basse vie respiratorie,82067,10,7,17
2009-2017,Malattie croniche delle basse vie respiratorie,82068,9,3,12
2009-2017,Malattie croniche delle basse vie respiratorie,82069,1,0,1
2009-2017,Malattie croniche delle basse vie respiratorie,82070,50,31,81
2009-2017,Malattie croniche delle basse vie respiratorie,82071,14,7,21
2009-2017,Malattie croniche delle basse vie respiratorie,82072,4,1,5
2009-2017,Malattie croniche delle basse vie respiratorie,82073,26,13,39
2009-2017,Malattie croniche delle basse vie respiratorie,82074,4,2,6
2009-2017,Malattie croniche delle basse vie respiratorie,82075,1,0,1
2009-2017,Malattie croniche delle basse vie respiratorie,82076,15,5,20
2009-2017,Malattie croniche delle basse vie respiratorie,82077,8,3,11
2009-2017,Malattie croniche delle basse vie respiratorie,82078,8,3,11
